# Site info for stations in the Delta.
# xy is in UTM zone 10, epsg:26910. lat-lon is epsg 4269
station_id,agency_id,name,x,y,lat,lon,agency_lat,agency_lon,d1641_id,cdec_id,agency,comment
anh2,B95020,San Joaquin at Antioch,605075.1,4208474.7,38.01787773,-121.80293902,38.01784713,-121.802883,D12A,ANH,dwr_ncro,USBR and DWR have equipment within a 30x30 building (in a 10x10 room) located on a pier that is the City of Antioch's pumping station
ben,B94175,Mokelumne River at Benson's Ferry,636491.3,4235314.6,38.25550042,-121.43999941,38.2555,-121.44,,BEN,dwr_ncro,
ccs,CCS,Cache Slough,609500.3,4239525.4,38.29713635,-121.74775978,38.29713655,-121.7477601,,CCS,usbr,Old Vallejo Pumping Plant
ccy,11452500,Cache Creek at Yolo,603778.3506,4287183,38.72721920,-121.80611116,38.726635,-121.807152,,CCY,usgs,
cis,B95290,Old River at Coney Island,628727.8,4189748.3,37.84610039,-121.53689943,37.8461,-121.5369,,CIS,dwr_ncro,
clc,CLC,Clifton Court,626952,4187911.6,37.82980021,-121.55739938,37.8298,-121.5574,C9,CLC,dwr,"Not 100% sure this is C9. If so, C9 was at one time outside Forebay on other side of the levee"
dbi,B95260,Discovery Bay at Indian Slough,624214.6,4197656.5,37.91798201,-121.58681999,37.91798191,-121.5868197,,DBI,dwr_ncro,
dgl,B95325,Doughty Cut above Grant Line Canal,638631.8,4186457.6,37.81499986,-121.42500031,37.815,-121.425,,DGL,dwr_ncro,
emm2,B91120,Sacramento River at Emmaton,610598.8,4215917.6,38.08428559,-121.73887405,38.08428584,-121.7388746,,,dwr_ncro,DWR and USBR at same site at end of pier. Bureau listed as D22A
emm,EMM,Emmaton,610598.8,4215917.6,38.08428559,-121.73887405,38.08428584,-121.7388746,D22A,EMM,usbr,DWR and USBR at same site at end of pier. Bureau listed as D22A
frp,FRP,Farrar Park,619475.5,4208005.7,38.01186754,-121.63900167,38.01186758,-121.6390022,,FRP,usbr,Moved to this covered berth according to description by Dominique Azpeitia
gct,B95300,Grant Line Canal at Tracy Rd Bridge,636454.1,4186988.1,37.82010777,-121.44963284,37.82010741,-121.4496329,,GCT,dwr_ncro,
gln,GLN,Green's Landing,626989.2,4245160.4,38.34559982,-121.54679952,38.3456,-121.5468,,GLN,usbr,Not confirmed. C3 (Hood) intended to replace this station
hbp,HBP,Harvey O Banks PP,623690.4,4187532.5,37.82683244,-121.59451652,37.79827347,-121.6236022,,HBP,dwr,Not sure about HRO vs HBP. Both siginficantly nudged to accommodate domain
hll,HLL,Holland Tract,624614.6,4207543.5,38.00701101,-121.58055643,38.00701135,-121.580556,,HLL,usbr,
