original_station_id,Station Name,CDEC Station ID,Latitude,Longitude,Flow,Water Quality,Sediment,CDEC ID Verified,in_repo,match_type,matched_station_id
c51,"Sacramento River Deep Water Ship Channel, Channel Marker 51 (CM 51)",C51,38.23739,-121.674,Flow,All WQ,Delta,yes,yes,exact_station_id,c51
cm62,Sacramento River Deep Water Ship Channel near Courtland (CM 62),C62,38.34167,-121.644,,All WQ + Nutr,,yes,yes,exact_station_id,c62
cm72,Sacramento River Deep Water Ship Channel near Freeport (CM 72),C72,38.47687,-121.584,Flow,All WQ + Nutr,,yes,yes,exact_station_id,c72
cm49a,Channel Marker 49A,CM49A,38.23333,-121.675,Flow,All WQ + Nutr,Delta,no,yes,exact_station_id,cm49a
confl,"Suisun Bay at Van Sickle Island near Pittsburg, CA",C31,38.04953,-121.888,,All WQ + Nutr + Fluoroprobe,,no,yes,fuzzy_name_latlon,c31
dlc,"Delta Cross Channel near Walnut Grove, CA",DLC,38.24472,-121.505,Flow,All WQ,,yes,yes,exact_station_id,dlc
dsj,Dutch Slough below Jersey Island Road at Jersey Island,DSJ,38.01361,-121.667,,Temp + SpC + Turb,,yes,yes,exact_station_id,dsj
fal,"False River near Oakley, CA",FAL,38.05583,-121.667,Flow,,Delta,yes,yes,exact_station_id,fal
ges,"Sacramento River below Georgiana Slough, CA",GES,38.23889,-121.522,,Temp + SpC + Turb,,yes,yes,exact_station_id,ges
glc,"Grant Line Canal near Tracy, CA",GLC,37.82,-121.545,Flow,,Delta,yes,yes,exact_station_id,glc
grizzb,"Grizzly Bay at Suisun Slough near Avon, CA",GZS,38.10853,-122.056,,All WQ + Nutr,,yes,yes,fuzzy_name_latlon,gzs
gss,Georgiana Slough near Sacramento River,GSS,38.23722,-121.518,Flow,Temp + SpC + Turb,Delta,yes,yes,exact_station_id,gss
hlt,"Middle River near Holt, CA",HLT,38.00306,-121.511,Flow,,Delta,yes,yes,exact_station_id,hlt
hol,"Holland Cut near Bethel Island, CA",HOL,38.01639,-121.582,Flow,,Delta,yes,yes,exact_station_id,hol
lib,"Cache Slough at Liberty Island near Rio Vista, CA",LIB,38.24222,-121.686,Vel,All WQ + Nutr,Delta,yes,yes,exact_station_id,lib
lps,"Little Potato Slough at Terminous, CA",LPS,38.09639,-121.496,Flow,All WQ + Nutr,,yes,yes,exact_station_id,lps
